"SpeciesAuthor","MatrixPopulation","Lat","Lon"
"Boltonia_decurrens","Early Flood 1",39.4506525,-90.5180616666667
"Boltonia_decurrens","Early Flood 2",39.4506525,-90.5180616666667
"Boltonia_decurrens","Late Flood 1",39.4506525,-90.5180616666667
"Boltonia_decurrens","Late Flood 2",39.4506525,-90.5180616666667
"Borderea_chouardii","Pyrenees",41.5847627777778,0.900566111111111
"Bothriochloa_insculpta","Heavily grazed",-24.6333333333333,31.4
"Bothriochloa_insculpta","Lightly grazed",-24.6333333333333,31.4
"Bouteloua_rigidiseta","Blanco State Park",30.0833333333333,-98.4166666666667
"Brassica_insularis","Teghime",42.7833333333333,9.43333333333333
"Brassica_insularis","Inzecca",42.1,9.26666666666667
"Brassica_insularis","Calcina",41.7166666666667,9.35
"Brassica_insularis","Corbaghiola",42.3166666666667,9.13333333333333
"Calamagrostis_canescens","Tver Region",56.1175,32.0833333333333
"Calathea_marantifolia","Corcovado National Park",8.46802777777778,-83.5839444444444
"Calathea_micans","La Selva Biological station",10.4333333333333,-84
"Calathea_ovandensis","Plot 1; Plot 2; Plot 3; Plot 4",18.45,-95.2
"Calathea_ovandensis","Plot 1",18.45,-95.2
"Calathea_ovandensis","Plot 2",18.45,-95.2
"Calathea_ovandensis","Plot 3",18.45,-95.2
"Calathea_ovandensis","Plot 4",18.45,-95.2
"Calochortus_albus","Hastings Natural History Reservation",36.3679166666667,-121.550416666667
"Calochortus_lyallii","North slope; East slope; West slope; Microsite 1; Microsite 2; Microsite 3; Microsite 4; Low density; Medium-low density; Medium-high density; High density",49.0333333333333,-119.616666666667
"Calochortus_lyallii","North slope; East slope; West slope",49.0333333333333,-119.616666666667
"Calochortus_lyallii","North slope",49.0333333333333,-119.616666666667
"Calochortus_lyallii","East slope",49.0333333333333,-119.616666666667
"Calochortus_lyallii","West slope",49.0333333333333,-119.616666666667
"Calochortus_lyallii","Microsite 1; Microsite 2; Microsite 3; Microsite 4",49.0333333333333,-119.616666666667
"Calochortus_lyallii","Microsite 1",49.0333333333333,-119.616666666667
"Calochortus_lyallii","Microsite 2",49.0333333333333,-119.616666666667
"Calochortus_lyallii","Microsite 3",49.0333333333333,-119.616666666667
"Calochortus_lyallii","Microsite 4",49.0333333333333,-119.616666666667
"Calochortus_lyallii","Low density; Medium-low density; Medium-high density; High density",49.0333333333333,-119.616666666667
"Calochortus_lyallii","Low density",49.0333333333333,-119.616666666667
"Calochortus_lyallii","Medium-low density",49.0333333333333,-119.616666666667
"Calochortus_lyallii","Medium-high density",49.0333333333333,-119.616666666667
"Calochortus_lyallii","High density",49.0333333333333,-119.616666666667
"Calochortus_lyallii_2","North slope; East slope; West slope",49.0333333333333,-119.616666666667
"Calochortus_macrocarpus","North slope; East slope; West slope",49.0333333333333,-119.616666666667
"Calochortus_obispoensis","San Luis Obispo",35.3008333333333,-120.650833333333
"Calochortus_pulchellus","Mount Diablo",37.8840277777778,-121.867361111111
